name,duration,release_date,album_name,explicit,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
A Sky Full of Stars - Live,293.653,2018-12-07,Love in Tokyo,False,15,0.0102,0.375,0.747,1.39e-05,0.757,-6.261,0.0378,125.009,4,0.241
Up&Up - Live,570.12,2018-12-07,Love in Tokyo,False,10,0.00482,0.0973,0.779,0.0115,0.195,-6.74,0.0757,72.528,4,0.117
A Head Full of Dreams,223.773,2015-12-04,A Head Full of Dreams,False,70,0.0021,0.449,0.92,0.0167,0.334,-4.982,0.0737,122.984,4,0.0772
Birds,229.093,2015-12-04,A Head Full of Dreams,False,66,0.000315,0.559,0.841,0.437,0.0816,-5.584,0.0332,105.009,4,0.147
Hymn for the Weekend,258.266,2015-12-04,A Head Full of Dreams,False,86,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4,0.412
Everglow,282.693,2015-12-04,A Head Full of Dreams,False,71,0.456,0.534,0.445,0.0684,0.112,-9.155,0.0292,146.107,4,0.136
Adventure of a Lifetime,263.786,2015-12-04,A Head Full of Dreams,False,80,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,4,0.53
Fun (feat. Tove Lo),267.533,2015-12-04,A Head Full of Dreams,False,59,0.271,0.485,0.735,7.49e-06,0.0853,-5.125,0.0354,134.021,4,0.216
Kaleidoscope,111.853,2015-12-04,A Head Full of Dreams,False,54,0.964,0.288,0.285,0.897,0.406,-18.193,0.0355,127.122,4,0.148
Army of One,376.826,2015-12-04,A Head Full of Dreams,False,58,0.275,0.387,0.659,6.44e-05,0.0861,-6.492,0.0434,146.048,4,0.287
Amazing Day,271.106,2015-12-04,A Head Full of Dreams,False,61,0.017,0.451,0.636,0.435,0.141,-5.796,0.0274,97.041,3,0.289
Colour Spectrum,60.106,2015-12-04,A Head Full of Dreams,False,53,0.852,0.348,0.166,0.915,0.137,-20.349,0.0376,123.58,4,0.0337
Up&Up,405.32,2015-12-04,A Head Full of Dreams,False,72,0.0488,0.479,0.717,0.000333,0.102,-5.459,0.0605,163.989,4,0.253
A Head Full of Dreams,223.773,2015-12-04,A Head Full of Dreams Tour Edition,False,18,0.0021,0.449,0.92,0.0167,0.334,-4.982,0.0737,122.984,4,0.0772
Birds,229.093,2015-12-04,A Head Full of Dreams Tour Edition,False,16,0.000315,0.559,0.841,0.437,0.0816,-5.584,0.0332,105.009,4,0.147
Hymn for the Weekend,258.266,2015-12-04,A Head Full of Dreams Tour Edition,False,26,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4,0.412
Everglow,282.693,2015-12-04,A Head Full of Dreams Tour Edition,False,19,0.456,0.534,0.445,0.0684,0.112,-9.155,0.0292,146.107,4,0.136
Adventure of a Lifetime,263.786,2015-12-04,A Head Full of Dreams Tour Edition,False,23,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,4,0.53
Fun (feat. Tove Lo),267.533,2015-12-04,A Head Full of Dreams Tour Edition,False,16,0.271,0.485,0.735,7.49e-06,0.0853,-5.125,0.0354,134.021,4,0.216
Kaleidoscope,111.853,2015-12-04,A Head Full of Dreams Tour Edition,False,13,0.964,0.288,0.285,0.897,0.406,-18.193,0.0355,127.122,4,0.148
Army of One,376.826,2015-12-04,A Head Full of Dreams Tour Edition,False,15,0.275,0.387,0.659,6.44e-05,0.0861,-6.492,0.0434,146.048,4,0.287
Amazing Day,271.106,2015-12-04,A Head Full of Dreams Tour Edition,False,15,0.017,0.451,0.636,0.435,0.141,-5.796,0.0274,97.041,3,0.289
Colour Spectrum,60.106,2015-12-04,A Head Full of Dreams Tour Edition,False,13,0.852,0.348,0.166,0.915,0.137,-20.349,0.0376,123.58,4,0.0337
Up&Up,405.32,2015-12-04,A Head Full of Dreams Tour Edition,False,17,0.0488,0.479,0.717,0.000333,0.102,-5.459,0.0605,163.989,4,0.253
Adventure of a Lifetime - Matoma Remix,250.714,2015-12-04,A Head Full of Dreams Tour Edition,False,19,0.00381,0.651,0.771,1.71e-05,0.238,-6.541,0.0313,112.015,4,0.456
Hymn for the Weekend - Seeb Remix,212.647,2015-12-04,A Head Full of Dreams Tour Edition,False,40,0.00868,0.564,0.849,4.68e-06,0.12,-3.516,0.0517,102.028,4,0.427
Up&Up - Freedo Remix,210.294,2015-12-04,A Head Full of Dreams Tour Edition,False,16,0.103,0.806,0.657,0.00283,0.126,-5.947,0.0688,97.986,4,0.289
"Magic - Live at the Enmore Theatre, Sydney; 2016 Remaster",300.306,2015-12-04,A Head Full of Dreams Tour Edition,False,14,0.235,0.557,0.542,0.141,0.715,-8.945,0.0439,93.312,4,0.301
"Clocks - Live at the Enmore Theatre, Sydney",260.666,2015-12-04,A Head Full of Dreams Tour Edition,False,15,0.0539,0.493,0.864,0.19,0.668,-4.613,0.0399,130.983,4,0.231
"Viva La Vida - Live at the Enmore Theatre, Sydney",251.72,2015-12-04,A Head Full of Dreams Tour Edition,False,17,0.0139,0.443,0.942,3.58e-06,0.886,-4.136,0.11,137.986,4,0.309
"Oceans - Live at the Enmore Theatre, Sydney",240.053,2015-12-04,A Head Full of Dreams Tour Edition,False,12,0.837,0.384,0.414,0.0209,0.147,-9.223,0.0293,74.978,4,0.177
"A Sky Full of Stars - Live at the Enmore Theatre, Sydney",347.706,2015-12-04,A Head Full of Dreams Tour Edition,False,16,0.0603,0.236,0.825,0.000713,0.41,-5.273,0.0578,124.938,4,0.189
"Always in My Head - Live at the Royal Albert Hall, London",237.266,2014-11-21,Ghost Stories Live 2014,False,45,0.0159,0.476,0.698,0.569,0.994,-8.451,0.0332,97.497,3,0.157
"Magic - Live at the Enmore Theatre, Sydney",292.146,2014-11-21,Ghost Stories Live 2014,False,49,0.18,0.5,0.502,0.0887,0.729,-11.775,0.0424,93.361,4,0.362
"Ink - Live at Le Casino De Paris, Paris",249.36,2014-11-21,Ghost Stories Live 2014,False,45,0.00645,0.584,0.735,0.433,0.958,-7.147,0.0395,112.025,4,0.345
"True Love - Live at the Enmore Theatre, Sydney",260.026,2014-11-21,Ghost Stories Live 2014,False,42,0.00195,0.463,0.758,0.0332,0.921,-7.939,0.0369,120.03,4,0.184
"Midnight - Live at the Royal Albert Hall, London",288.666,2014-11-21,Ghost Stories Live 2014,False,42,0.188,0.459,0.574,0.705,0.958,-10.416,0.0334,126.987,4,0.0874
"Another's Arms - Live at the Beacon Theatre, New York",235.88,2014-11-21,Ghost Stories Live 2014,False,41,0.00231,0.509,0.722,0.0469,0.981,-8.088,0.0306,80.008,4,0.497
"Oceans - Live at E-Werk, Cologne",268.786,2014-11-21,Ghost Stories Live 2014,False,40,0.875,0.363,0.426,0.177,0.15,-11.428,0.0312,75.201,4,0.126
"A Sky Full of Stars - Live at the Royal Albert Hall, London",278.266,2014-11-21,Ghost Stories Live 2014,False,58,0.00416,0.467,0.765,5.93e-05,0.708,-7.846,0.0311,125.013,4,0.186
"O - Live at Royce Hall, Los Angeles",336.066,2014-11-21,Ghost Stories Live 2014,False,42,0.378,0.308,0.364,0.946,0.932,-12.183,0.0306,135.975,4,0.0688
Always in My Head,216.626,2014-05-19,Ghost Stories,False,68,0.0127,0.495,0.502,0.689,0.068,-9.307,0.0259,97.546,3,0.0394
Magic,285.014,2014-05-19,Ghost Stories,False,76,0.0266,0.738,0.482,0.621,0.106,-8.917,0.0402,93.457,4,0.352
Ink,228.373,2014-05-19,Ghost Stories,False,64,0.0647,0.688,0.705,0.124,0.118,-7.311,0.0323,112.019,4,0.696
True Love,246.0,2014-05-19,Ghost Stories,False,60,0.00376,0.482,0.573,0.077,0.123,-7.966,0.028,119.991,4,0.184
Midnight,294.666,2014-05-19,Ghost Stories,False,67,0.615,0.548,0.475,0.808,0.0944,-12.42,0.0355,126.974,4,0.0349
Another's Arms,234.413,2014-05-19,Ghost Stories,False,55,0.00715,0.516,0.572,0.254,0.139,-9.037,0.0291,160.023,4,0.351
Oceans,321.68,2014-05-19,Ghost Stories,False,54,0.919,0.194,0.132,0.181,0.159,-15.783,0.0349,74.845,4,0.04
A Sky Full of Stars,267.866,2014-05-19,Ghost Stories,False,87,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,124.97,4,0.162
O,323.48,2014-05-19,Ghost Stories,False,64,0.911,0.371,0.216,0.826,0.0934,-14.727,0.0358,136.998,4,0.0645
Mylo Xyloto - Live,57.618,2012-11-19,Live 2012,False,42,0.328,0.0714,0.881,0.993,0.583,-7.189,0.182,177.309,3,0.0399
Hurts Like Heaven - Live,256.333,2012-11-19,Live 2012,True,44,0.000429,0.398,0.918,0.0386,0.944,-6.944,0.0531,89.992,4,0.103
In My Place - Live 2012,235.306,2012-11-19,Live 2012,False,48,0.00033,0.349,0.729,0.022,0.981,-7.059,0.0372,144.785,4,0.233
Major Minus - Live,219.973,2012-11-19,Live 2012,True,41,0.00159,0.226,0.869,0.106,0.994,-7.091,0.0579,113.717,4,0.358
Yellow - Live,411.973,2012-11-19,Live 2012,False,53,0.0643,0.253,0.689,0.00933,0.92,-7.82,0.0447,93.919,4,0.0848
God Put a Smile upon Your Face - Live,321.973,2012-11-19,Live 2012,True,42,0.00979,0.156,0.751,0.053,0.987,-6.848,0.0578,138.071,4,0.0616
Princess of China - Live,228.96,2012-11-19,Live 2012,False,43,0.00883,0.391,0.904,0.11,0.985,-5.786,0.0889,85.027,4,0.43
Up in Flames - Live,197.84,2012-11-19,Live 2012,False,40,0.201,0.546,0.53,0.128,0.767,-8.064,0.0435,76.023,4,0.479
Viva La Vida - Live,298.333,2012-11-19,Live 2012,False,58,0.0123,0.452,0.821,0.09,0.874,-6.828,0.0397,137.965,4,0.338
Charlie Brown - Live,300.746,2012-11-19,Live 2012,False,48,0.0102,0.35,0.863,0.0201,0.445,-6.628,0.0623,137.92,4,0.138
Paradise - Live,332.08,2012-11-19,Live 2012,False,54,0.0255,0.332,0.801,0.082,0.753,-7.622,0.0522,139.791,4,0.372
Us Against the World - Live,232.2,2012-11-19,Live 2012,False,42,0.571,0.154,0.623,4.12e-05,0.986,-8.428,0.0551,76.873,4,0.393
Clocks - Live,284.96,2012-11-19,Live 2012,False,49,0.0572,0.451,0.908,0.418,0.381,-6.386,0.0625,131.011,4,0.29
Fix You - Live,300.653,2012-11-19,Live 2012,False,55,0.00264,0.165,0.551,0.242,0.477,-7.62,0.0346,140.52,4,0.181
Every Teardrop Is a Waterfall - Live,324.306,2012-11-19,Live 2012,False,45,0.0124,0.25,0.971,0.000145,0.985,-7.516,0.154,118.206,4,0.264
Mylo Xyloto,42.106,2011-10-24,Mylo Xyloto,False,53,0.437,0.151,0.389,0.961,0.228,-12.798,0.038,100.707,1,0.223
Hurts Like Heaven,242.253,2011-10-24,Mylo Xyloto,False,59,0.01,0.418,0.773,0.00418,0.269,-6.187,0.0305,89.961,4,0.273
Paradise,278.719,2011-10-24,Mylo Xyloto,False,86,0.0509,0.449,0.585,8.75e-05,0.0833,-6.761,0.0268,139.631,4,0.212
Charlie Brown,285.159,2011-10-24,Mylo Xyloto,False,73,0.0212,0.43,0.74,0.00165,0.33,-7.072,0.0375,137.978,4,0.0948
Us Against the World,239.767,2011-10-24,Mylo Xyloto,False,60,0.845,0.507,0.304,1.03e-05,0.0741,-11.096,0.0278,112.371,3,0.195
M.M.I.X.,48.466,2011-10-24,Mylo Xyloto,False,47,0.939,0.174,0.0613,0.867,0.095,-29.286,0.0538,126.857,3,0.154
Every Teardrop Is a Waterfall,240.796,2011-10-24,Mylo Xyloto,False,74,0.00194,0.425,0.732,0.0103,0.171,-6.883,0.0396,117.98,4,0.333
Major Minus,210.324,2011-10-24,Mylo Xyloto,False,50,0.000236,0.445,0.669,0.796,0.606,-5.232,0.0325,115.416,4,0.398
U.F.O.,137.819,2011-10-24,Mylo Xyloto,False,50,0.731,0.216,0.395,0.0167,0.338,-11.791,0.0361,83.697,3,0.206
Princess of China,239.215,2011-10-24,Mylo Xyloto,False,72,0.00385,0.42,0.69,0.015,0.287,-6.221,0.0347,85.014,4,0.237
Up in Flames,193.24,2011-10-24,Mylo Xyloto,False,52,0.235,0.641,0.244,0.0337,0.104,-11.051,0.0301,76.006,4,0.337
A Hopeful Transmission,33.0,2011-10-24,Mylo Xyloto,False,47,0.103,0.441,0.26,0.878,0.816,-20.424,0.0352,116.949,4,0.574
Don't Let It Break Your Heart,234.106,2011-10-24,Mylo Xyloto,False,53,0.000561,0.41,0.751,0.0571,0.169,-7.903,0.0465,140.047,4,0.151
Up with the Birds,225.653,2011-10-24,Mylo Xyloto,False,51,0.714,0.365,0.483,0.00463,0.363,-7.876,0.035,120.039,4,0.107
"Charlie Brown - Live from Glastonbury, 2011",288.013,2011-10-19,Mylo Xyloto,False,8,0.0121,0.409,0.806,0.0784,0.973,-6.786,0.0412,137.953,4,0.277
"Life Is for Living - Live from Glastonbury, 2011",149.546,2011-10-19,Mylo Xyloto,False,7,0.0148,0.245,0.518,0.00449,0.743,-6.955,0.0317,79.98,4,0.295
"Every Teardrop Is a Waterfall - Live from Glastonbury, 2011",278.112,2011-10-19,Mylo Xyloto,False,7,0.00724,0.311,0.861,0.0061,0.877,-5.609,0.0645,118.053,4,0.2
"Glass of Water - Live in Sydney, 2009",284.24,2009-05-15,LeftRightLeftRightLeft (Live),False,35,0.0799,0.151,0.713,0.0256,0.968,-7.686,0.0354,155.21,4,0.128
"42 - Live in Madrid, 2008",292.0,2009-05-15,LeftRightLeftRightLeft (Live),False,34,0.0256,0.26,0.722,0.000345,0.977,-7.881,0.0378,141.594,4,0.107
"Clocks - Live in Madrid, 2008",280.346,2009-05-15,LeftRightLeftRightLeft (Live),False,39,0.285,0.471,0.867,0.616,0.943,-6.832,0.0409,130.981,4,0.4
"Strawberry Swing - Live in Madrid, 2008",256.44,2009-05-15,LeftRightLeftRightLeft (Live),False,36,0.00844,0.207,0.78,0.134,0.985,-7.115,0.0492,85.136,4,0.231
"The Hardest Part / Postcards from Far Away - Live in Sydney, 2009",255.213,2009-05-15,LeftRightLeftRightLeft (Live),False,38,0.874,0.246,0.358,7.9e-05,0.602,-8.794,0.0311,89.737,4,0.157
"Viva La Vida - Live in Paris, 2008",324.133,2009-05-15,LeftRightLeftRightLeft (Live),False,40,0.0349,0.174,0.942,0.0395,0.794,-5.978,0.14,138.005,4,0.186
"Death Will Never Conquer - Live in Sydney, 2009",99.306,2009-05-15,LeftRightLeftRightLeft (Live),False,34,0.639,0.309,0.926,0.133,0.966,-7.596,0.168,140.527,3,0.559
"Fix You - Live in Sydney, 2009",338.64,2009-05-15,LeftRightLeftRightLeft (Live),False,38,0.0153,0.157,0.563,0.192,0.98,-8.815,0.0402,137.847,4,0.185
"Death and All His Friends - Live in Madrid, 2008",264.426,2009-05-15,LeftRightLeftRightLeft (Live),False,35,0.163,0.235,0.672,0.168,0.901,-8.321,0.0628,128.673,1,0.261
Life in Technicolor,149.133,2008-11-24,Viva La Vida (Prospekt's March Edition),False,22,0.0102,0.288,0.662,0.944,0.498,-10.482,0.0347,131.056,4,0.254
Cemeteries of London,201.106,2008-11-24,Viva La Vida (Prospekt's March Edition),False,20,0.0054,0.437,0.806,0.00822,0.1,-7.693,0.0353,109.109,3,0.271
Lost!,236.213,2008-11-24,Viva La Vida (Prospekt's March Edition),False,22,0.0057,0.359,0.779,0.837,0.379,-7.52,0.0412,86.951,4,0.582
42,237.4,2008-11-24,Viva La Vida (Prospekt's March Edition),False,20,0.221,0.309,0.636,0.00281,0.102,-7.202,0.0344,141.382,4,0.177
Lovers in Japan,411.013,2008-11-24,Viva La Vida (Prospekt's March Edition),False,23,0.0427,0.202,0.733,0.696,0.243,-7.599,0.0446,118.217,4,0.0728
Yes,426.653,2008-11-24,Viva La Vida (Prospekt's March Edition),False,18,0.00884,0.162,0.807,0.358,0.187,-6.277,0.0538,161.577,4,0.227
Viva La Vida,242.373,2008-11-24,Viva La Vida (Prospekt's March Edition),False,34,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4,0.417
Violet Hill,222.653,2008-11-24,Viva La Vida (Prospekt's March Edition),False,25,0.0614,0.33,0.58,0.00129,0.115,-7.875,0.0374,76.093,4,0.11
Strawberry Swing,249.666,2008-11-24,Viva La Vida (Prospekt's March Edition),False,23,0.00722,0.378,0.663,0.797,0.191,-10.476,0.0458,173.136,4,0.428
Death and All His Friends,378.853,2008-11-24,Viva La Vida (Prospekt's March Edition),False,22,0.695,0.218,0.296,0.727,0.164,-10.61,0.0312,129.93,4,0.0792
Life in Technicolor ii,245.099,2008-11-24,Viva La Vida (Prospekt's March Edition),False,36,0.00158,0.472,0.909,5.16e-05,0.248,-7.073,0.0391,131.051,4,0.278
Postcards from Far Away,48.128,2008-11-24,Viva La Vida (Prospekt's March Edition),False,23,0.99,0.46,0.164,0.953,0.146,-19.387,0.048,126.704,4,0.189
Glass of Water,284.905,2008-11-24,Viva La Vida (Prospekt's March Edition),False,25,0.000433,0.152,0.695,0.0618,0.334,-8.299,0.0318,157.167,4,0.237
Rainy Day,206.002,2008-11-24,Viva La Vida (Prospekt's March Edition),False,19,0.0765,0.375,0.677,0.00271,0.126,-6.964,0.0292,137.994,4,0.652
Prospekt's March / Poppyfields,219.231,2008-11-24,Viva La Vida (Prospekt's March Edition),False,20,0.401,0.285,0.279,0.00428,0.193,-11.992,0.0292,146.4,4,0.0942
